Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
01-06-2020,09:05,INT.AIRL.GRP,ES0177542018,MAD,-1000,EUR,2.7300,EUR,2730.00,EUR,2730.00,,EUR,-3.37,EUR,2726.63,3905727f-2687-485b-90fd-026643b0b1c6
29-05-2020,14:08,INT.AIRL.GRP,ES0177542018,MAD,811,EUR,2.6020,EUR,-2110.22,EUR,-2110.22,,EUR,-1.06,EUR,-2111.28,de1e444b-2b23-42e5-8f93-df72661f7f2c
29-05-2020,14:08,INT.AIRL.GRP,ES0177542018,MAD,63,EUR,2.6020,EUR,-163.93,EUR,-163.93,,EUR,-0.08,EUR,-164.01,de1e444b-2b23-42e5-8f93-df72661f7f2c
29-05-2020,14:08,INT.AIRL.GRP,ES0177542018,MAD,63,EUR,2.6020,EUR,-163.93,EUR,-163.93,,EUR,-0.08,EUR,-164.01,de1e444b-2b23-42e5-8f93-df72661f7f2c
29-05-2020,14:08,INT.AIRL.GRP,ES0177542018,MAD,63,EUR,2.6020,EUR,-163.93,EUR,-163.93,,EUR,-2.08,EUR,-166.01,de1e444b-2b23-42e5-8f93-df72661f7f2c
29-05-2020,12:34,PHARMA MAR SA,ES0169501030,MAD,-500,EUR,6.1100,EUR,3055.00,EUR,3055.00,,EUR,-3.53,EUR,3051.47,a1be30a5-2686-47f6-8c47-1e1e394aae4d
29-05-2020,10:23,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,300,EUR,7.4400,EUR,-2232.00,EUR,-2232.00,,EUR,-3.12,EUR,-2235.12,000b91c2-d645-42f2-b4da-7e0b7c28eebe
28-05-2020,15:09,PHARMA MAR SA,ES0169501030,MAD,39,EUR,5.7750,EUR,-225.23,EUR,-225.23,,EUR,-0.11,EUR,-225.34,2acf981f-abe9-41f5-9b43-907991597a9a
28-05-2020,15:09,PHARMA MAR SA,ES0169501030,MAD,322,EUR,5.7750,EUR,-1859.55,EUR,-1859.55,,EUR,-0.93,EUR,-1860.48,2acf981f-abe9-41f5-9b43-907991597a9a
28-05-2020,15:09,PHARMA MAR SA,ES0169501030,MAD,88,EUR,5.7750,EUR,-508.20,EUR,-508.20,,EUR,-0.25,EUR,-508.45,2acf981f-abe9-41f5-9b43-907991597a9a
28-05-2020,15:09,PHARMA MAR SA,ES0169501030,MAD,30,EUR,5.7750,EUR,-173.25,EUR,-173.25,,EUR,-0.09,EUR,-173.34,2acf981f-abe9-41f5-9b43-907991597a9a
28-05-2020,15:09,PHARMA MAR SA,ES0169501030,MAD,21,EUR,5.7750,EUR,-121.28,EUR,-121.28,,EUR,-2.06,EUR,-123.34,2acf981f-abe9-41f5-9b43-907991597a9a
27-05-2020,11:31,INDITEX,ES0148396007,MAD,-200,EUR,24.3000,EUR,4860.00,EUR,4860.00,,EUR,-4.43,EUR,4855.57,95ea759c-2490-4c44-89ff-b39bdf12e6b2
